year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2008,3571.36653,2,2,2,2,6,2,6,3,4,1,6,2,2,0,1,4,2,0,0,2,5
2008,3571.36653,2,2,2,2,6,2,6,3,4,1,4,2,2,0,1,4,2,0,0,2,5
2008,3347.44416,2,1,2,1,6,2,88,0,3,3,4,1,2,0,1,2,1,0,0,,3
2008,3653.77047,2,1,1,4,6,4,88,1,4,2,1,1,2,0,1,4,2,0,0,2,1
2008,4602.98141,1,3,1,4,1,1,2,2,3,2,4,2,2,0,1,2,1,0,0,2,2
2008,3349.27033,2,1,2,1,6,4,1,1,1,2,4,1,2,0,1,2,1,1,1,2,1
2008,3763.34593,2,1,2,1,5,1,88,1,4,1,1,1,2,0,1,4,2,0,0,2,1
2008,4209.52491,1,1,2,1,5,1,88,1,4,2,6,1,2,0,1,4,2,0,0,2,1
2008,4209.52491,1,1,2,1,5,1,88,1,4,2,4,1,2,0,1,4,2,0,0,2,1
2008,4209.52491,1,1,2,1,5,1,88,1,4,2,4,1,2,0,1,4,2,0,0,2,1
2008,4042.72764,2,1,2,1,6,4,3,1,1,1,5,2,2,0,1,1,1,0,0,2,3
2008,3081.74813,2,2,2,2,7,2,6,1,1,1,3,1,2,0,1,4,2,0,0,2,3
2008,3529.08353,2,3,2,3,6,5,3,1,3,1,2,2,2,0,1,4,2,0,0,2,1
2008,5523.26253,1,1,2,1,5,1,4,1,1,2,4,2,2,0,1,4,2,0,0,2,5
2008,2000.30387,2,1,2,1,8,1,88,1,1,1,4,1,2,0,2,5,3,0,0,2,3
2008,3662.63734,2,2,2,2,8,5,88,5,1,1,4,2,1,3,1,3,1,0,0,2,1
2008,2991.08077,2,1,1,4,6,2,4,2,4,2,5,2,1,2,1,2,1,1,1,2,1
2008,2396.18739,1,1,2,1,6,2,6,3,2,1,4,2,2,0,1,4,2,0,0,2,3
2008,3009.83375,1,1,2,1,2,1,6,1,3,3,3,2,1,2,1,3,1,0,0,2,5
2008,3009.83375,1,1,2,1,2,1,6,1,3,3,6,2,1,2,1,3,1,0,0,2,5
2008,3599.73563,2,1,2,1,4,2,4,0,3,3,2,1,2,0,1,4,2,0,0,2,1
2008,3599.73563,2,1,2,1,4,2,4,0,3,3,3,1,3,5,1,1,1,0,0,2,1
2008,3152.11202,1,1,2,1,7,1,5,1,2,2,2,2,2,0,1,4,2,0,0,2,2
2008,1978.14649,1,1,2,1,6,1,2,2,2,1,3,1,2,0,1,4,2,0,0,2,1
2008,2913.78968,2,3,2,3,5,2,1,5,1,1,5,1,2,0,1,2,1,0,0,2,3
2008,5833.7213,2,2,2,2,2,1,2,1,3,2,3,2,2,0,1,4,2,0,0,2,4
